param YearSplit	:	2014		2015		2016		2017		2018		2019		2020		2021		2022		2023		2024		2025		2026		2027		2028		2029		2030		2031		2032		2033		2034			:=
MayWe4				0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	
MayWe5				0.001826	0.001826	0.001826	0.001826	0.001826	0.001826	0.001826	0.001826	0.001826	0.001826	0.001826	0.001826	0.001826	0.001826	0.001826	0.001826	0.001826	0.001826	0.001826	0.001826	0.001826	
JunWd1				0.013699	0.013699	0.013699	0.013699	0.013699	0.013699	0.013699	0.013699	0.013699	0.013699	0.013699	0.013699	0.013699	0.013699	0.013699	0.013699	0.013699	0.013699	0.013699	0.013699	0.013699	
JunWd2				0.011416	0.011416	0.011416	0.011416	0.011416	0.011416	0.011416	0.011416	0.011416	0.011416	0.011416	0.011416	0.011416	0.011416	0.011416	0.011416	0.011416	0.011416	0.011416	0.011416	0.011416	
JunWd3				0.013699	0.013699	0.013699	0.013699	0.013699	0.013699	0.013699	0.013699	0.013699	0.013699	0.013699	0.013699	0.013699	0.013699	0.013699	0.013699	0.013699	0.013699	0.013699	0.013699	0.013699	
JunWd4				0.011416	0.011416	0.011416	0.011416	0.011416	0.011416	0.011416	0.011416	0.011416	0.011416	0.011416	0.011416	0.011416	0.011416	0.011416	0.011416	0.011416	0.011416	0.011416	0.011416	0.011416	
JunWd5				0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	
JunWe1				0.006849	0.006849	0.006849	0.006849	0.006849	0.006849	0.006849	0.006849	0.006849	0.006849	0.006849	0.006849	0.006849	0.006849	0.006849	0.006849	0.006849	0.006849	0.006849	0.006849	0.006849	
JunWe2				0.005708	0.005708	0.005708	0.005708	0.005708	0.005708	0.005708	0.005708	0.005708	0.005708	0.005708	0.005708	0.005708	0.005708	0.005708	0.005708	0.005708	0.005708	0.005708	0.005708	0.005708	
JunWe3				0.006849	0.006849	0.006849	0.006849	0.006849	0.006849	0.006849	0.006849	0.006849	0.006849	0.006849	0.006849	0.006849	0.006849	0.006849	0.006849	0.006849	0.006849	0.006849	0.006849	0.006849	
JunWe4				0.005708	0.005708	0.005708	0.005708	0.005708	0.005708	0.005708	0.005708	0.005708	0.005708	0.005708	0.005708	0.005708	0.005708	0.005708	0.005708	0.005708	0.005708	0.005708	0.005708	0.005708	
JunWe5				0.002283	0.002283	0.002283	0.002283	0.002283	0.002283	0.002283	0.002283	0.002283	0.002283	0.002283	0.002283	0.002283	0.002283	0.002283	0.002283	0.002283	0.002283	0.002283	0.002283	0.002283	
